pair_id,program_id,java_id,python_id,language_a,language_b,code_a,code_b,label,pair_type,split,source,pair_label,program_id_a,program_id_b
TRAIN_NEG_002757,,3233-Java-6,8020-Python-8,Java,Python,mid = left + ( right - left ) / 2 ; t = ( mid * ( mid + 1 ) ) / 2 ;,if ( cnt % 2 == 0 ) : NEW_LINE INDENT ans += s [ indl ] NEW_LINE indl += 1 NEW_LINE DEDENT,0,negative,train,XLCoST_constructed,0,3233,8020
TRAIN_NEG_000194,,8020-Java-8,3667-Python-4,Java,Python,if ( cnt % 2 == 0 ) ans += s . charAt ( indl ++ ) ;,conCount = 0 NEW_LINE,0,negative,train,XLCoST_constructed,0,8020,3667
TRAIN_NEG_000755,,10524-Java-5,6681-Python-3,Java,Python,"public static void main ( String [ ] args ) { int arr [ ] = { 2 , 4 , 3 , 6 , 5 } ; int n = arr . length ; System . out . println ( minLCM ( arr , n ) ) ; } }","dpArray = [ 0 ] * ( n + 1 ) NEW_LINE dpArray [ 0 ] = 1 NEW_LINE dpArray [ 2 ] = 1 NEW_LINE for i in range ( 4 , n + 1 , 2 ) : NEW_LINE INDENT for j in range ( 0 , i - 1 , 2 ) : NEW_LINE INDENT dpArray [ i ] += ( dpArray [ j ] * dpArray [ i - 2 - j ] ) NEW_LINE DEDENT DEDENT",0,negative,train,XLCoST_constructed,0,10524,6681
TRAIN_NEG_002626,,3883-Java-1,1956-Python-6,Java,Python,"import java . util . * ; class GFG { static int maxSumArray ( int arr [ ] , int n ) {","def search ( pat , txt ) : NEW_LINE INDENT global NO_OF_CHARS NEW_LINE M = len ( pat ) NEW_LINE N = len ( txt ) NEW_LINE TF = computeTF ( pat , M ) NEW_LINE DEDENT",0,negative,train,XLCoST_constructed,0,3883,1956
TRAIN_NEG_001895,,8236-Java-3,277-Python-10,Java,Python,for ( int i = 0 ; i < n ; i ++ ) { switch ( s . charAt ( i ) ) {,if ( root == None ) : NEW_LINE INDENT return - 1 NEW_LINE DEDENT if ( root == x ) : NEW_LINE INDENT return 0 NEW_LINE DEDENT,0,negative,train,XLCoST_constructed,0,8236,277
TRAIN_NEG_001103,,11278-Java-6,6446-Python-6,Java,Python,int totalDigits = countDigits ( n ) ; if ( totalDigits < ( k + l ) ) return - 1 ;,"arr1 = [ 8 , 15 , 3 , 7 ] NEW_LINE n = len ( arr1 ) NEW_LINE print ( optimalStrategyOfGame ( arr1 , n ) ) NEW_LINE arr2 = [ 2 , 2 , 2 , 2 ] NEW_LINE n = len ( arr2 ) NEW_LINE print ( optimalStrategyOfGame ( arr2 , n ) ) NEW_LINE arr3 = [ 20 , 30 , 2 , 2 , 2 , 10 ] NEW_LINE n = len ( arr3 ) NEW_LINE print ( optimalStrategyOfGame ( arr3 , n ) ) NEW_LINE",0,negative,train,XLCoST_constructed,0,11278,6446
TRAIN_POS_044366,5055,5055-Java-1,5055-Python-1,Java,Python,import java . util . * ; class GFG { static int MAX = 1000000 ;,MAX = 1000000 NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_066166,11548,11548-Java-4,11548-Python-4,Java,Python,float R = ( float ) ( ( h * r * Math . sqrt ( 2 ) ) / ( h + Math . sqrt ( 2 ) * r ) ) / 2 ; return R ; },R = ( ( ( h * r * math . sqrt ( 2 ) ) ) / ( h + math . sqrt ( 2 ) * r ) / 2 ) NEW_LINE return R NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_056386,8875,8875-Java-6,8875-Python-6,Java,Python,Queue < String > q = new LinkedList < > ( ) ; String temp ; boolean level = false ;,q = [ ] NEW_LINE temp = 0 NEW_LINE level = 0 NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_000822,,1908-Java-8,3796-Python-11,Java,Python,"public static void main ( String [ ] args ) { char symbols [ ] = "" TTFT "" . toCharArray ( ) ; char operators [ ] = "" | & ^ "" . toCharArray ( ) ; int n = symbols . length ;",if ( tli > 0 and tlj > 0 ) : NEW_LINE INDENT res = ( res + aux [ tli - 1 ] [ tlj - 1 ] ) NEW_LINE DEDENT return res NEW_LINE,0,negative,train,XLCoST_constructed,0,1908,3796
TRAIN_POS_053207,7644,7644-Java-2,7644-Python-2,Java,Python,"static int minDel ( String s1 , String s2 ) { int i = s1 . length ( ) ; int j = s2 . length ( ) ;","def minDel ( s1 , s2 ) : NEW_LINE INDENT i = len ( s1 ) NEW_LINE j = len ( s2 ) NEW_LINE DEDENT",1,positive,train,XLCoST,1,,
TRAIN_NEG_002546,,14-Java-2,1217-Python-1,Java,Python,"class Node { int key ; Node left , right ; Node ( int item ) { key = item ; left = right = null ; } } class BinaryTree { Node root ;","def checkDuplicatesWithinK ( arr , n , k ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,14,1217
TRAIN_POS_056910,9019,9019-Java-6,9019-Python-6,Java,Python,"numerator = d * d + c * c - a * a - b * b ; x = numerator / denominator ; System . out . println ( "" D : ▁ "" + Math . round ( ( ( Math . acos ( x ) * 180 ) / 3.141592 ) * 100.0 ) / 100.0 + "" ▁ degrees "" ) ; }","numerator = d * d + c * c - a * a - b * b NEW_LINE x = numerator / denominator NEW_LINE print ( "" D : ▁ "" , ' % .2f ' % ( ( math . acos ( x ) * 180 ) / 3.141592 ) , "" ▁ degrees "" ) NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_064935,11227,11227-Java-2,11227-Python-2,Java,Python,"static int maxItems ( int x , int y , int z ) {","def maxItems ( x , y , z ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_050206,6528,6528-Java-18,6528-Python-18,Java,Python,"int ans = func ( 0 , a , b , 0 , c ) ; return ans ; }","ans = func ( 0 , a , b , 0 , c ) NEW_LINE return ans NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_032579,2159,2159-Java-13,2159-Python-13,Java,Python,if ( prev_state == curr_state && curr_state != 2 ) return false ; if ( prev_state == 2 && curr_state == 0 ) return false ;,if prev_state == curr_state and curr_state != 2 : NEW_LINE INDENT return False NEW_LINE DEDENT,1,positive,train,XLCoST,1,,
TRAIN_NEG_000265,,13974-Java-2,10494-Python-1,Java,Python,static boolean findPattern ( int n ) {,from math import floor NEW_LINE,0,negative,train,XLCoST_constructed,0,13974,10494
TRAIN_NEG_001829,,2893-Java-9,4878-Python-2,Java,Python,l = m + 1 ; } return l ; },"def averageSetBits ( N , K , arr ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,2893,4878
TRAIN_NEG_000943,,4218-Java-3,141-Python-17,Java,Python,int cntPairs = 0 ;,root = newNode ( 10 ) NEW_LINE root . left = newNode ( 8 ) NEW_LINE root . right = newNode ( 2 ) NEW_LINE root . left . left = newNode ( 3 ) NEW_LINE root . left . right = newNode ( 5 ) NEW_LINE root . right . left = newNode ( 2 ) NEW_LINE printRootToLeaf ( root ) NEW_LINE,0,negative,train,XLCoST_constructed,0,4218,141
TRAIN_NEG_002460,,2900-Java-1,8427-Python-6,Java,Python,import java . io . * ; class GFG {,if ( countOfOne >= K ) : NEW_LINE,0,negative,train,XLCoST_constructed,0,2900,8427
TRAIN_NEG_000833,,12913-Java-10,9700-Python-10,Java,Python,if ( p [ N [ i ] - '0' ] == 0 && prevprime [ N [ i ] - '0' ] != 0 ) { ans [ ns ++ ] = ( char ) ( prevprime [ N [ i ] - '0' ] + '0' ) ; small = 1 ; },"print ( prefix [ arr [ i ] [ 1 ] ] - prefix [ arr [ i ] [ 0 ] - 1 ] , end = "" ▁ "" ) NEW_LINE",0,negative,train,XLCoST_constructed,0,12913,9700
TRAIN_POS_036779,3070,3070-Java-7,3070-Python-7,Java,Python,else return true ; },else : NEW_LINE INDENT return True NEW_LINE DEDENT,1,positive,train,XLCoST,1,,
TRAIN_POS_014318,11261,11261-Java-3,11261-Python-3,Java,Python,sum += n % TEN ;,sum += n % TEN NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_068449,12684,12684-Java-3,12684-Python-3,Java,Python,int total = 0 ;,total = 0 NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_036961,3108,3108-Java-14,3108-Python-14,Java,Python,int M = T . length ( ) ;,M = len ( T ) ; NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_029389,9712,9712-Java-9,9712-Python-9,Java,Python,System . out . println ( SumOfPrimeDivisors ( n ) ) ; } },print ( SumOfPrimeDivisors ( n ) ) NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_000380,,10777-Java-4,80-Python-6,Java,Python,for ( i = 2 ; i <= sqr ; i ++ ) { while ( temp % i == 0 ) { temp = temp / i ; prime ++ ; } },created [ i ] = Node ( i ) NEW_LINE,0,negative,train,XLCoST_constructed,0,10777,80
TRAIN_NEG_000165,,11274-Java-2,5319-Python-8,Java,Python,"static void findFactors ( int a , int b ) { int c ; c = a + b - 1 ;",count += 1 NEW_LINE,0,negative,train,XLCoST_constructed,0,11274,5319
TRAIN_NEG_001658,,8375-Java-5,3058-Python-2,Java,Python,public static void main ( String [ ] args ) {,"def canPlace ( s , n , k ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,8375,3058
TRAIN_NEG_000312,,1867-Java-5,11358-Python-4,Java,Python,if ( seq [ i ] == seq [ j ] && i + 1 == j ) { return 2 ; },"if x < 0 : NEW_LINE INDENT x = - 1 NEW_LINE DEDENT else : NEW_LINE INDENT x = 1 NEW_LINE DEDENT print ( val * x , ""0"" , end = "" ▁ "" ) ; NEW_LINE",0,negative,train,XLCoST_constructed,0,1867,11358
TRAIN_NEG_000935,,12009-Java-13,6440-Python-9,Java,Python,"int arr [ ] = { 1 , 3 , 5 , 10 , 15 , 7 } ; int n = arr . length ;","if __name__ == ' _ _ main _ _ ' : NEW_LINE INDENT arr = [ 12 , 9 , 7 , 33 ] NEW_LINE n = len ( arr ) NEW_LINE print ( maxSum ( arr , 0 , n ) ) NEW_LINE DEDENT",0,negative,train,XLCoST_constructed,0,12009,6440
TRAIN_POS_059560,10516,10516-Java-6,10516-Python-6,Java,Python,int count = 0 ;,count = 0 NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_001841,,2339-Java-7,4587-Python-6,Java,Python,temp = 0 ; } else {,"index = n // 2 - 1 NEW_LINE print ( "" Minimum ▁ M ▁ required ▁ is : "" , a [ index ] ) NEW_LINE",0,negative,train,XLCoST_constructed,0,2339,4587
TRAIN_NEG_001184,,4338-Java-15,9373-Python-6,Java,Python,return res ; },if s1 [ 0 ] / s2 [ 0 ] == s1 [ 1 ] / s2 [ 1 ] : NEW_LINE,0,negative,train,XLCoST_constructed,0,4338,9373
TRAIN_POS_065373,11358,11358-Java-4,11358-Python-4,Java,Python,"System . out . print ( val * ( x < 0 ? - 1 : 1 ) + "" ▁ 0 ▁ "" ) ;","if x < 0 : NEW_LINE INDENT x = - 1 NEW_LINE DEDENT else : NEW_LINE INDENT x = 1 NEW_LINE DEDENT print ( val * x , ""0"" , end = "" ▁ "" ) ; NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_NEG_002678,,5933-Java-5,12091-Python-2,Java,Python,ans = Integer . MIN_VALUE ;,z = int ( ma . ceil ( h / 60 ) ) NEW_LINE if ( z <= n ) : NEW_LINE INDENT print ( z * m ) NEW_LINE DEDENT else : NEW_LINE INDENT print ( n * m + ( z - n ) * x ) NEW_LINE DEDENT,0,negative,train,XLCoST_constructed,0,5933,12091
TRAIN_NEG_001635,,13676-Java-3,6545-Python-9,Java,Python,"for ( int i = 0 ; i < n ; i ++ ) { for ( int j = i + 1 ; j < n ; j ++ ) { maxXor = Math . max ( maxXor , arr [ i ] ^ arr [ j ] ) ; } } return maxXor ; }",gouldSequence ( n ) NEW_LINE,0,negative,train,XLCoST_constructed,0,13676,6545
TRAIN_POS_077577,6069,6069-Java-5,6069-Python-5,Java,Python,if ( n == 0 ) { dp [ 0 ] = 0 ; return 0 ; },if ( n == 0 ) : NEW_LINE INDENT dp [ 0 ] = 0 NEW_LINE return 0 NEW_LINE DEDENT,1,positive,train,XLCoST,1,,
TRAIN_NEG_000144,,3728-Java-2,1328-Python-7,Java,Python,static boolean vowel ( int vo ) {,"if __name__ == "" _ _ main _ _ "" : NEW_LINE INDENT arr = [ 3 , 4 , 7 , 1 , 2 , 9 , 8 ] NEW_LINE n = len ( arr ) NEW_LINE find_pair_of_sum ( arr , n ) NEW_LINE DEDENT",0,negative,train,XLCoST_constructed,0,3728,1328
TRAIN_NEG_000264,,3542-Java-17,7159-Python-4,Java,Python,maximumDistance = 0 ;,"for j in range ( i + 1 , n ) : NEW_LINE INDENT if ( arr [ j ] > arr [ j - 1 ] ) : NEW_LINE INDENT continue NEW_LINE DEDENT if ( arr [ i ] == arr [ i - 1 ] ) : NEW_LINE INDENT return False NEW_LINE DEDENT else : NEW_LINE INDENT if ( f == 1 ) : NEW_LINE INDENT return False NEW_LINE DEDENT DEDENT DEDENT return True NEW_LINE",0,negative,train,XLCoST_constructed,0,3542,7159
TRAIN_NEG_000122,,1526-Java-4,6908-Python-2,Java,Python,int min_sum = Integer . MAX_VALUE ; int min_index = 0 ;,"def maxCost ( mat , N ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,1526,6908
TRAIN_POS_055353,8352,8352-Java-3,8352-Python-3,Java,Python,"public static void main ( String args [ ] ) { String str = "" GeeksforGeeks "" ; System . out . println ( "" ASCII ▁ Sentence : "" ) ; ASCIISentence ( str ) ; } }","str = "" GeeksforGeeks "" NEW_LINE print ( "" ASCII ▁ Sentence : "" ) NEW_LINE ASCIISentence ( str ) NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_POS_039234,3624,3624-Java-6,3624-Python-6,Java,Python,for ( int i = d ; i <= n - 1 ; ++ i ) {,"for i in range ( d , n ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_NEG_000317,,12585-Java-6,2614-Python-5,Java,Python,"public static void main ( String [ ] args ) { int n = 642 ; System . out . print ( n + "" ▁ : ▁ "" ) ; if ( isSandwitched ( n ) ) System . out . println ( "" Yes "" ) ; else System . out . println ( "" No "" ) ; n = 9 ; System . out . print ( n + "" ▁ : ▁ "" ) ; if ( isSandwitched ( n ) ) System . out . println ( "" Yes "" ) ; else System . out . println ( "" No "" ) ; } }","if ( index == len ( arr [ i ] ) ) : NEW_LINE INDENT return - 1 NEW_LINE DEDENT curr_count += index NEW_LINE ans = min ( curr_count , ans ) NEW_LINE return ans NEW_LINE",0,negative,train,XLCoST_constructed,0,12585,2614
TRAIN_NEG_001544,,1028-Java-6,5365-Python-3,Java,Python,Stack < Character > ops = new Stack < Character > ( ) ; for ( int i = 0 ; i < tokens . length ; i ++ ) {,' NEW_LINE INDENT for i in range ( n ) : NEW_LINE INDENT if ( arr [ i ] % 2 == 0 ) : NEW_LINE INDENT even . append ( arr [ i ] ) NEW_LINE DEDENT else : NEW_LINE INDENT odd . append ( arr [ i ] ) NEW_LINE DEDENT DEDENT size_odd = len ( odd ) NEW_LINE size_even = len ( even ) NEW_LINE DEDENT,0,negative,train,XLCoST_constructed,0,1028,5365
TRAIN_POS_050931,6852,6852-Java-8,6852-Python-8,Java,Python,L [ i ] . add ( arr . elementAt ( i ) ) ; },L [ i ] . append ( arr [ i ] ) NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_072513,3971,3971-Java-2,3971-Python-2,Java,Python,"class Pair { public int x , y ; Pair ( int x , int y ) { this . x = x ; this . y = y ; } } class GFG {","def findPairs ( arr , size ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_NEG_001021,,13120-Java-1,12094-Python-2,Java,Python,import static java . lang . Math . pow ; class Test {,"def findNumber ( n , d ) : NEW_LINE",0,negative,train,XLCoST_constructed,0,13120,12094
TRAIN_POS_033635,2423,2423-Java-10,2423-Python-10,Java,Python,Node new_node = new Node ( ) ;,new_node = Node ( ) NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_062149,9637,9637-Java-4,9637-Python-4,Java,Python,for ( int i = 0 ; i < n ; i ++ ) sum += ar [ i ] ;,for i in range ( n ) : NEW_LINE INDENT sum += ar [ i ] NEW_LINE DEDENT,1,positive,train,XLCoST,1,,
TRAIN_POS_054448,7985,7985-Java-2,7985-Python-2,Java,Python,static boolean isVowel ( char c ) { if ( c == ' a ' c == ' e ' c == ' i ' c == ' o ' c == ' u ' ) return true ; return false ; },def isVowel ( c ) : NEW_LINE INDENT if ( c == ' a ' or c == ' e ' or c == ' i ' or c == ' o ' or c == ' u ' ) : NEW_LINE INDENT return True NEW_LINE DEDENT return False NEW_LINE DEDENT,1,positive,train,XLCoST,1,,
TRAIN_POS_064331,11054,11054-Java-5,11054-Python-5,Java,Python,sieve ( ) ;,sieve ( ) NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_POS_012425,6654,6654-Java-6,6654-Python-6,Java,Python,"int placeAdd = isPossible ( n , index + 1 , modulo + arr [ index ] , M , arr , dp ) ;","' NEW_LINE INDENT placeAdd = isPossible ( n , index + 1 , modulo + arr [ index ] , M , arr , dp ) NEW_LINE DEDENT",1,positive,train,XLCoST,1,,
TRAIN_NEG_001272,,220-Java-4,6701-Python-1,Java,Python,"int left = heightOfTreeUtil ( root . left , ! isEven ) ; int right = heightOfTreeUtil ( root . right , ! isEven ) ;",MAX = 100 NEW_LINE import numpy as np NEW_LINE,0,negative,train,XLCoST_constructed,0,220,6701
TRAIN_NEG_001289,,8967-Java-2,2820-Python-2,Java,Python,"static int findRepeatingElement ( int arr [ ] , int low , int high ) {","def LongestSubarray ( a , n , k ) : NEW_LINE INDENT pre = [ 0 for i in range ( n ) ] NEW_LINE DEDENT",0,negative,train,XLCoST_constructed,0,8967,2820
TRAIN_NEG_001214,,13362-Java-7,2340-Python-6,Java,Python,"public static void main ( String [ ] args ) { System . out . println ( "" Maximum ▁ Product ▁ is ▁ "" + maxProd ( 45 ) ) ; } }",ans = 0 NEW_LINE,0,negative,train,XLCoST_constructed,0,13362,2340
TRAIN_POS_053672,7764,7764-Java-4,7764-Python-4,Java,Python,if ( res . length ( ) == 2 ) System . out . println ( res ) ; else System . out . println ( - 1 ) ; },"if ( len ( res ) == 2 ) : NEW_LINE INDENT print ( res ) ; NEW_LINE DEDENT else : NEW_LINE INDENT print ( "" - 1"" ) ; NEW_LINE DEDENT",1,positive,train,XLCoST,1,,
TRAIN_POS_059158,10372,10372-Java-5,10372-Python-5,Java,Python,else { sum = sum + i ; sum = sum + ( n / i ) ; } } } return sum ; },sum = sum + i NEW_LINE sum = sum + ( n // i ) NEW_LINE return sum NEW_LINE,1,positive,train,XLCoST,1,,
TRAIN_NEG_002315,,1230-Java-5,5150-Python-6,Java,Python,int [ ] count = new int [ range ] ;,while ( n > digit ) : NEW_LINE,0,negative,train,XLCoST_constructed,0,1230,5150
TRAIN_POS_045280,5224,5224-Java-4,5224-Python-4,Java,Python,for ( int i = 0 ; i < N ; i ++ ) {,"for i in range ( 0 , N ) : NEW_LINE",1,positive,train,XLCoST,1,,
TRAIN_NEG_000701,,4334-Java-3,5223-Python-13,Java,Python,Arrays . sort ( arr ) ;,"print ( findMax ( arr , dp , 0 , 0 ) ) NEW_LINE",0,negative,train,XLCoST_constructed,0,4334,5223
